generation,pokedex_number,name,description,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,stat_total,hp,attack,defense,sp_attack,sp_defense,speed,sound_link,image_link
1,1,Bulbasaur,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,Seed Pokémon,Grass,Poison,0.7,6.9,Overgrow,,Chlorophyll,318.0,45.0,49.0,49.0,65.0,65.0,45.0,https://play.pokemonshowdown.com/audio/cries/bulbasaur.mp3,https://projectpokemon.org/images/normal-sprite/bulbasaur.gif
1,2,Ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",Seed Pokémon,Grass,Poison,1.0,13.0,Overgrow,,Chlorophyll,405.0,60.0,62.0,63.0,80.0,80.0,60.0,https://play.pokemonshowdown.com/audio/cries/ivysaur.mp3,https://projectpokemon.org/images/normal-sprite/ivysaur.gif
1,3,Venusaur,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,Seed Pokémon,Grass,Poison,2.0,100.0,Overgrow,,Chlorophyll,525.0,80.0,82.0,83.0,100.0,100.0,80.0,https://play.pokemonshowdown.com/audio/cries/venusaur.mp3,https://projectpokemon.org/images/normal-sprite/venusaur.gif
1,4,Charmander,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",Lizard Pokémon,Fire,,0.6,8.5,Blaze,,Solar Power,309.0,39.0,52.0,43.0,60.0,50.0,65.0,https://play.pokemonshowdown.com/audio/cries/charmander.mp3,https://projectpokemon.org/images/normal-sprite/charmander.gif
1,5,Charmeleon,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",Flame Pokémon,Fire,,1.1,19.0,Blaze,,Solar Power,405.0,58.0,64.0,58.0,80.0,65.0,80.0,https://play.pokemonshowdown.com/audio/cries/charmeleon.mp3,https://projectpokemon.org/images/normal-sprite/charmeleon.gif
1,6,Charizard,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,Flame Pokémon,Fire,Flying,1.7,90.5,Blaze,,Solar Power,534.0,78.0,84.0,78.0,109.0,85.0,100.0,https://play.pokemonshowdown.com/audio/cries/charizard.mp3,https://projectpokemon.org/images/normal-sprite/charizard.gif
1,7,Squirtle,"When it retracts its long neck into its shell, it squirts out water with vigorous force.",Tiny Turtle Pokémon,Water,,0.5,9.0,Torrent,,Rain Dish,314.0,44.0,48.0,65.0,50.0,64.0,43.0,https://play.pokemonshowdown.com/audio/cries/squirtle.mp3,https://projectpokemon.org/images/normal-sprite/squirtle.gif
1,8,Wartortle,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old.",Turtle Pokémon,Water,,1.0,22.5,Torrent,,Rain Dish,405.0,59.0,63.0,80.0,65.0,80.0,58.0,https://play.pokemonshowdown.com/audio/cries/wartortle.mp3,https://projectpokemon.org/images/normal-sprite/wartortle.gif
1,9,Blastoise,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell.",Shellfish Pokémon,Water,,1.6,85.5,Torrent,,Rain Dish,530.0,79.0,83.0,100.0,85.0,105.0,78.0,https://play.pokemonshowdown.com/audio/cries/blastoise.mp3,https://projectpokemon.org/images/normal-sprite/blastoise.gif
1,10,Caterpie,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",Worm Pokémon,Bug,,0.3,2.9,Shield Dust,,Run Away,195.0,45.0,30.0,35.0,20.0,20.0,45.0,https://play.pokemonshowdown.com/audio/cries/caterpie.mp3,https://projectpokemon.org/images/normal-sprite/caterpie.gif
